ESTAR: Stopping Powers and Range Tables for Electrons

WATER, LIQUID                                                                

Kinetic   D. Effect 
Energy    Parameter 
MeV                 

1.000E-02 0.000E+00 
1.250E-02 0.000E+00 
1.500E-02 0.000E+00 
1.750E-02 0.000E+00 
2.000E-02 0.000E+00 
2.500E-02 0.000E+00 
3.000E-02 0.000E+00 
3.500E-02 0.000E+00 
4.000E-02 0.000E+00 
4.500E-02 0.000E+00 
5.000E-02 0.000E+00 
5.500E-02 0.000E+00 
6.000E-02 0.000E+00 
7.000E-02 0.000E+00 
8.000E-02 0.000E+00 
9.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.250E-01 0.000E+00 
1.500E-01 0.000E+00 
1.750E-01 0.000E+00 
2.000E-01 0.000E+00 
2.500E-01 0.000E+00 
3.000E-01 0.000E+00 
3.500E-01 0.000E+00 
4.000E-01 0.000E+00 
4.500E-01 0.000E+00 
5.000E-01 0.000E+00 
5.500E-01 1.103E-02 
6.000E-01 2.938E-02 
7.000E-01 7.435E-02 
8.000E-01 1.267E-01 
9.000E-01 1.835E-01 
1.000E+00 2.428E-01 
1.250E+00 3.944E-01 
1.500E+00 5.437E-01 
1.750E+00 6.866E-01 
2.000E+00 8.218E-01 
2.500E+00 1.069E+00 
3.000E+00 1.288E+00 
3.500E+00 1.484E+00 
4.000E+00 1.660E+00 
4.500E+00 1.821E+00 
5.000E+00 1.967E+00 
5.500E+00 2.102E+00 
6.000E+00 2.227E+00 
7.000E+00 2.453E+00 
8.000E+00 2.652E+00 
9.000E+00 2.831E+00 
1.000E+01 2.992E+00 
1.250E+01 3.341E+00 
1.500E+01 3.633E+00 
1.750E+01 3.885E+00 
2.000E+01 4.107E+00 
2.500E+01 4.487E+00 
3.000E+01 4.806E+00 
3.500E+01 5.082E+00 
4.000E+01 5.326E+00 
4.500E+01 5.544E+00 
5.000E+01 5.741E+00 
5.500E+01 5.921E+00 
6.000E+01 6.087E+00 
7.000E+01 6.383E+00 
8.000E+01 6.641E+00 
9.000E+01 6.871E+00 
1.000E+02 7.077E+00 
1.250E+02 7.516E+00 
1.500E+02 7.876E+00 
1.750E+02 8.182E+00 
2.000E+02 8.447E+00 
2.500E+02 8.891E+00 
3.000E+02 9.254E+00 
3.500E+02 9.561E+00 
4.000E+02 9.827E+00 
4.500E+02 1.006E+01 
5.000E+02 1.027E+01 
5.500E+02 1.046E+01 
6.000E+02 1.064E+01 
7.000E+02 1.094E+01 
8.000E+02 1.121E+01 
9.000E+02 1.145E+01 
1.000E+03 1.166E+01 
